geometry,address
POINT (-8.388429995807087 51.931320010652456),"43 Old Avenue, Riverstown, Cork"
POINT (-8.511915513461355 51.92821837205904),"The Crescent, Rathpeacon (Killeens), Cork"
POINT (-8.615970000911489 51.92577001728387),"6 Laureston Lawn, Tower, Cork"
POINT (-8.485490003826783 51.90165000124912),"336 Blarney Street, Cork"
POINT (-8.4298915252317 51.87168844455461),"11 Greenlodge, Douglas, Cork"
POINT (-8.458080006976644 51.906909980767836),"5 Windsor Cottages, Cork"
POINT (-8.483450016231956 51.89588999929646),"Lancaster Gate, 1 Western Road, Cork"
POINT (-8.47288001723257 51.89882001927998),"Opera Lane Apartments, 1 Academy Street, Cork"
POINT (-8.473136491197494 51.89895799094345),"Academy Street, Cork"
POINT (-8.607209990083817 51.88376000238759),"84 Caislean Grove, Ballincollig, Cork"
POINT (-8.472329996746197 51.90115999518949),"Camden Wharf, APARTMENT 1 Camden Quay, Cork"
POINT (-8.458600020249662 51.8835600101778),"4 Palaceanne Lawn, Cork"
POINT (-8.47670526776178 51.85618113040433),"Belvedere, Cork"
POINT (-8.516849972548357 51.88034001825392),"1 Merlyn Lawn, Cork"
POINT (-8.417949969143592 51.908089985096865),"59 Ashmount Court, Cork"
POINT (-8.463950021408465 51.89249000600191),"26 Fitzgerald Place, Cork"
POINT (-8.527994970105581 51.85989999298933),"Castlewhite, Cork"
POINT (-8.483069980741988 51.890550014511945),"51 Gould Street, Cork"
POINT (-8.611360037984042 51.88257999805853),"59 Willow Grove, Ballincollig, Cork"
POINT (-8.537789978337372 51.88975000376337),"Edenhall, APARTMENT G1 Model Farm Road, Cork"
POINT (-8.45088003596797 51.86411998787156),"16 Ard Field Avenue, Douglas, Cork"
POINT (-8.493070010325425 51.918259999676735),"Fairview, 66 Fair Hill Drive, Cork"
POINT (-8.406319994668621 51.866460005690556),"41 Kilbrody, Cork"
POINT (-8.495939973972696 51.88655000267855),"1 Tara Court, Cork"
POINT (-8.515925290432138 51.896574064908144),"River Towers, Cork"
POINT (-8.51342001394994 51.88054998492848),"Saint Josephs, Bishopstown Road, Cork"
POINT (-8.473730026033593 51.90355001106093),"The Mill, APARTMENT 1 Lower John Street, Cork"
POINT (-8.38350001181638 51.925150007905984),"4 Glyntown Road, Riverstown, Cork"
POINT (-8.516600024195668 51.88005000440407),"Curraheen, Bishopstown Road, Cork"
POINT (-8.460540011739596 51.90703998408608),"170a Old Youghal Road, Cork"
POINT (-8.409460023236221 51.89510000492217),"11 Meadow Grove Estate, Blackrock, Cork"
POINT (-8.40982002597758 51.88691997988471),"2 Frederick Avenue, Blackrock, Cork"
POINT (-8.398609984851731 51.872519995957845),"3 Lower Kensington, Cork"
POINT (-8.582640033486598 51.89255999489342),"149 Leeview, Ballincollig, Cork"
POINT (-8.420060454859552 51.89361379911089),"25 Church Road, Blackrock, Cork"
POINT (-8.516896316535714 51.874072919630166),"14 Holly House, Cork"
POINT (-8.593440031909125 51.88563000498601),"58 Church View, Ballincollig, Cork"
POINT (-8.408215356371784 51.923569020628356),"17 Castlejane Cottages, Glanmire, Cork"
POINT (-8.482270680668664 51.88790749945526),"Pouladuff Villas, Cork"
POINT (-8.609860012591753 51.8909300080924),"27 Innismore Grove, Ballincollig, Cork"
POINT (-8.464540023572994 51.90332998610256),"12 Hansborough, Cork"
POINT (-8.482451036999976 51.91408583100008),"Farranree, Cork"
POINT (-8.61535996599838 51.88346001407294),"69 The Lawn, Ballincollig, Cork"
POINT (-8.48568999603657 51.892959979312934),"1a McCurtains Villas, Cork"
POINT (-8.476019961981109 51.894089985589545),"28 Evergreen Buildings, Cork"
POINT (-8.527010012663453 51.87694999942414),"8 The Rise, Cork"
POINT (-8.441730015185527 51.8602599957307),"8 The Rise, Douglas, Cork"
POINT (-8.481269967035047 51.90166999208819),"14 Rock Cottages, Cork"
POINT (-8.407517356504496 51.863220668604995),"29 Fort Hill, Douglas, Cork"
POINT (-8.377339983534682 51.929279981148085),"52 Copper Valley Vue, Brooklodge (Glanmire), Cork"
POINT (-8.461469983896933 51.89047998371092),"3 Marble Hall Close, Cork"
POINT (-8.645821289763235 51.87372149846918),"11 Grange Road, Grange, Cork"
POINT (-9.155845939653728 51.59600429077666),"Ballinlough, Skibbereen, Cork"
POINT (-8.450560014904738 51.90793999093955),"1a Montenotte Park, Montenotte, Cork"
POINT (-8.423340035799583 51.91233001272769),"1 Lotabeg Estate, Mayfield, Cork"
POINT (-8.493860004699712 51.87138001521649),"39 Palmbury, Cork"
POINT (-8.571940031168964 51.886990010685736),"14 Woodbine Lawn, Ballincollig, Cork"
POINT (-8.500039981910987 51.87258001038458),"12 Milford, Cork"
POINT (-8.450660011009631 51.909219991373476),"11 Ashburton Row, Cork"
POINT (-8.50439002202097 51.873179987013884),"47 Westbury Estate, Cork"
POINT (-8.57530000087587 51.88384000765339),"28 Highfield Avenue, Ballincollig, Cork"
POINT (-8.48463999502576 51.90146999987843),"4 City View Terrace, Cork"
POINT (-8.45929999298383 51.90647001467016),"8 Marian Ville, Cork"
POINT (-8.458210010294891 51.90508000175706),"Pemberly, Alexandra Road, Cork"
POINT (-8.451450005383919 51.90680001019817),"9 Ard Na Laoi, Montenotte, Cork"
POINT (-8.462289985484574 51.90655001993596),"21 Bellvue Terrace, Cork"
POINT (-8.49595003225653 51.87115999025812),"3 Palmbury, Cork"
POINT (-8.457789993126767 51.882260018904816),"15 Heatherton Park, Cork"
POINT (-8.475400036422258 51.91550000659913),"137 St Michaels Road, Farranree, Cork"
POINT (-8.470780015210977 51.894180007229636),"4 Red Abbey Court, Cork"
POINT (-8.590660027793419 51.88399504102605),"Distillery Court, Ballincollig, Cork"
POINT (-8.615796703127275 51.88561685943076),"The Old Quarry, Ballincollig, Cork"
POINT (-8.481060000360515 51.88581998082148),"31 Clareville Estate, Cork"
POINT (-8.372337065633237 51.87774944861152),"Rochestown Road, Rochestown, Cork"
POINT (-8.457309961531934 51.902480019211055),"Arcadia Hall, APARTMENT 1 Lower Glanmire Road, Cork"
POINT (-8.501879977296056 51.89918999648614),"2 Lower View Ville, Cork"
POINT (-8.399309999999957 51.92694000000006),"Glanmire, Cork"
POINT (-8.432170035518794 51.913970015902976),"318 Old Youghal Road, Mayfield, Cork"
POINT (-8.580740023674792 51.893119989844564),"176 The Willows, Ballincollig, Cork"
POINT (-8.473029969480365 51.86974998650595),"54 Alderbrook, Cork"
POINT (-8.417479995832537 51.86276999854613),"55 An Radharc, Douglas, Cork"
POINT (-8.517149999999958 51.879800000000046),Bishopstown
POINT (-8.511880006879522 51.88679001847598),"35 Laburnum Lawn, Cork"
POINT (-8.372337065633237 51.87774944861152),"Rochestown Road, Rochestown, Cork"
POINT (-8.62721982467717 51.88273436463609),"24 Classes Lake, Ballincollig, Cork"
POINT (-8.61758997133822 51.88105998182718),"14 Oldcourt, Ballincollig, Cork"
POINT (-8.507629962874404 51.90368998884395),"48 Hollyville, Cork"
POINT (-8.491119960551686 51.9166600200891),"85 Bride Valley View, Cork"
POINT (-8.43156997507046 51.91228998914002),"31 Byefield Park, Mayfield, Cork"
POINT (-8.481699958667946 51.898159986314425),"Aras na H-Ollscoile, 10 Sheares Street, Cork"
POINT (-8.454739986199286 51.88953999517929),"Bellair Close, 16 Bellair Estate, Cork"
POINT (-8.457199990962266 51.906919997142126),"9 Mount View Terrace, Cork"
POINT (-8.413619337110868 51.862959862029214),"17 The Oaks, Douglas, Cork"
POINT (-8.507659970087786 51.8736100205563),"51 White Oaks, Cork"
POINT (-8.405639970864001 51.89372000838338),"18 Mahon Park, Mahon, Cork"
POINT (-8.450000019953592 51.86864998744272),"45 Stockton Close, Douglas, Cork"
POINT (-8.478950023874148 51.89293998847387),"3 Sullivan's Lane, Cork"
POINT (-9.169299999999964 51.601500000000044),"Ballinlough, Skibbereen, Cork"
POINT (-8.48712003253732 51.90979000269891),"19 Glengarriff Road, Cork"
POINT (-8.45322998634225 51.902940018057336),"4 Nelsons Terrace, Cork"
POINT (-8.516600024195668 51.88005000440407),"Curraheen, Bishopstown Road, Cork"
POINT (-8.30356004103254 51.80178000209935),"3 Woodford, Cork"
POINT (-8.485220022725514 51.90842999699919),"19 Inniscarra Road, Cork"
POINT (-8.398040015435782 51.88939000102198),"34 Inchera Lawn, Mahon, Cork"
POINT (-8.482850039602653 51.90186000983317),"39 Blarney Street, Cork"
POINT (-8.619140036692443 51.88566998666417),"3 The Lawn, Ballincollig, Cork"
POINT (-8.488540010754264 51.890550014511945),"20 Denroches Cross, Cork"
POINT (-8.484769998344007 51.90140998545169),"4 Leeview Terrace, Cork"
POINT (-8.452600002499565 51.87924001919069),"50 Greenhills Court, Cork"
POINT (-8.474149959382657 51.864969996672585),"131 Curragh Woods, Cork"
POINT (-8.458560038571505 51.87056001362882),"94 East Avenue, Cork"
POINT (-8.511399975284661 51.87731000216553),"81 Cardinal Court, Cork"
POINT (-8.393459975902658 51.87885998370072),"Sonata, APARTMENT 69 Harty's Quay, Cork"
POINT (-8.46582999847169 51.895000008817306),"Copley Hall, APARTMENT 1 Cotters Street, Cork"
POINT (-8.630779985632188 51.88435000455209),"22 The Elms, Ballincollig, Cork"
POINT (-8.531159976744647 51.88568000303846),"6 Rosslee, Cork"
POINT (-8.460990036121103 51.869130019037584),"63 West Avenue, Cork"
POINT (-8.61328997119017 51.882530000006085),"42 The Lawn, Ballincollig, Cork"
POINT (-8.410399999999981 51.96714000000003),"Templeusque, Cork"
POINT (-8.385590039373199 51.92697001245196),"37 Rivergrove, Riverstown, Cork"
POINT (-8.540230034170776 51.87374999833935),"Clonbar House, Curraheen Road, Cork"
POINT (-8.463114193649918 51.90158104144005),"1 Lower Glanmire Road, Cork"
POINT (-8.437170008401012 51.89598999540135),"43 Lindville, Cork"
POINT (-8.413239999999973 51.90044000000006),Cork
POINT (-8.4657399768316 51.867349996169736),"7 The Maples, Cork"
POINT (-8.488719970215442 51.89026000066207),"7 Croghtamore Square, Cork"
POINT (-8.451069969893922 51.86337999154972),"24 Ard Field Green, Douglas, Cork"
POINT (-8.502620015527413 51.905520009764246),"113 Harbour View Road, Knocknaheeny, Cork"
POINT (-8.484000036718328 51.91955999094972),"Brideholm, APARTMENT 1 Commons Road, Cork"
POINT (-8.41080999999997 51.90552000000008),"Tivoli, Munster"
POINT (-8.483450016231956 51.89588999929646),"Lancaster Gate, 1 Western Road, Cork"
POINT (-8.391050011101669 51.817539991725965),"Coppins, Cork, Carrigaline, Cork"
